"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"COL1A1",0,3.14122608627979,0.992,0.268,0,"0","COL1A1",0.724
"COL1A2",0,2.96268166352458,0.989,0.269,0,"0","COL1A2",0.72
"COL3A1",0,2.76244725194227,0.949,0.202,0,"0","COL3A1",0.747
"PLA2G2A",0,2.55091832807795,0.411,0.04,0,"0","PLA2G2A",0.371
"COL6A3",0,1.92354099903542,0.962,0.17,0,"0","COL6A3",0.792
"TAGLN",0,1.91828228517438,0.756,0.192,0,"0","TAGLN",0.564
"COL6A1",0,1.84758717849278,0.991,0.273,0,"0","COL6A1",0.718
"DCN",0,1.81867245986053,0.988,0.216,0,"0","DCN",0.772
"LUM",0,1.8113278755402,0.583,0.111,0,"0","LUM",0.472
"COL6A2",0,1.80184940890748,0.986,0.252,0,"0","COL6A2",0.734
"TIMP1",0,1.77895940328036,0.978,0.513,0,"0","TIMP1",0.465
"C1R",0,1.77797386591707,0.949,0.227,0,"0","C1R",0.722
"C7",0,1.73641299353557,0.79,0.121,0,"0","C7",0.669
"SERPINF1",0,1.7198391061059,0.818,0.16,0,"0","SERPINF1",0.658
"SPARC",0,1.70881295068418,0.979,0.306,0,"0","SPARC",0.673
"SERPINE2",0,1.68312197921756,0.709,0.151,0,"0","SERPINE2",0.558
"C11orf96",0,1.67783077826354,0.767,0.173,0,"0","C11orf96",0.594
"OGN",0,1.65933218388756,0.73,0.089,0,"0","OGN",0.641
"C1S",0,1.6405664811549,0.964,0.199,0,"0","C1S",0.765
"TPM2",0,1.60082507687575,0.975,0.285,0,"0","TPM2",0.69
"AEBP1",0,1.58702977394649,0.894,0.163,0,"0","AEBP1",0.731
"ACTA2",0,1.53678036461611,0.783,0.179,0,"0","ACTA2",0.604
"CALD1",0,1.49424640792179,0.996,0.331,0,"0","CALD1",0.665
"CCDC80",0,1.49356996669115,0.811,0.143,0,"0","CCDC80",0.668
"RARRES2",0,1.49239889069494,0.957,0.251,0,"0","RARRES2",0.706
"HTRA1",0,1.46778194043848,0.815,0.231,0,"0","HTRA1",0.584
"CFD",0,1.43388941113917,0.477,0.137,0,"0","CFD",0.34
"MYLK",0,1.40085445797209,0.743,0.134,0,"0","MYLK",0.609
"IGFBP4",0,1.3575809653028,0.958,0.281,0,"0","IGFBP4",0.677
"SFRP1",0,1.35473403991217,0.726,0.118,0,"0","SFRP1",0.608
"COL5A1",0,1.35351103316662,0.843,0.102,0,"0","COL5A1",0.741
"FN1",0,1.30660510354453,0.893,0.285,0,"0","FN1",0.608
"TCEAL4",0,1.27782367671337,0.96,0.368,0,"0","TCEAL4",0.592
"COL5A2",0,1.27261757032218,0.808,0.11,0,"0","COL5A2",0.698
"MEG3",0,1.22264547937126,0.946,0.186,0,"0","MEG3",0.76
"TPM1",0,1.21953095532744,0.911,0.318,0,"0","TPM1",0.593
"PTGDS",0,1.20203281861626,0.31,0.068,0,"0","PTGDS",0.242
"IGFBP6",0,1.19758408132425,0.532,0.1,0,"0","IGFBP6",0.432
"TCF21",0,1.19691196762094,0.76,0.096,0,"0","TCF21",0.664
"MMP2",0,1.17685167298379,0.855,0.165,0,"0","MMP2",0.69
"NNMT",0,1.17089610864997,0.528,0.126,0,"0","NNMT",0.402
"EMILIN1",0,1.16299072247345,0.865,0.106,0,"0","EMILIN1",0.759
"FSTL1",0,1.15898781391024,0.879,0.171,0,"0","FSTL1",0.708
"PCOLCE",0,1.14911051207415,0.77,0.107,0,"0","PCOLCE",0.663
"C3",0,1.1432914654638,0.459,0.168,0,"0","C3",0.291
"THBS1",0,1.13492362256723,0.734,0.126,0,"0","THBS1",0.608
"ACTG2",0,1.11179084094143,0.391,0.028,0,"0","ACTG2",0.363
"SFRP4",0,1.10782206824855,0.54,0.054,0,"0","SFRP4",0.486
"IGF1",0,1.1006193566468,0.681,0.084,0,"0","IGF1",0.597
"IGFBP7",0,1.09987564655225,0.977,0.369,0,"0","IGFBP7",0.608
"THY1",0,1.09866174420376,0.71,0.105,0,"0","THY1",0.605
"SMOC2",0,1.08974666276073,0.725,0.106,0,"0","SMOC2",0.619
"FBN1",0,1.07218803111543,0.869,0.145,0,"0","FBN1",0.724
"APOE",0,1.06827281364992,0.836,0.324,0,"0","APOE",0.512
"MYL9",0,1.05895540530186,0.934,0.289,0,"0","MYL9",0.645
"IGFBP2",0,1.05182014286787,0.871,0.336,0,"0","IGFBP2",0.535
"TIMP2",0,1.04275447740152,0.978,0.394,0,"0","TIMP2",0.584
"SPRR2F",0,1.03590923726274,0.366,0.026,0,"0","SPRR2F",0.34
"RBP1",0,1.03301565851343,0.955,0.301,0,"0","RBP1",0.654
"PDLIM3",0,1.02830938464565,0.654,0.084,0,"0","PDLIM3",0.57
"FILIP1L",0,1.02522271715875,0.817,0.157,0,"0","FILIP1L",0.66
"PMP22",0,1.01912930886907,0.837,0.187,0,"0","PMP22",0.65
"CDH11",0,1.01373046184908,0.83,0.155,0,"0","CDH11",0.675
"COLEC11",0,1.00050037221817,0.666,0.065,0,"0","COLEC11",0.601
"FHL2",0,0.996341023478498,0.923,0.219,0,"0","FHL2",0.704
"FBLN1",0,0.99300967484316,0.636,0.115,0,"0","FBLN1",0.521
"MDK",0,0.983263062859766,0.927,0.297,0,"0","MDK",0.63
"PEG3",0,0.982973835819027,0.826,0.167,0,"0","PEG3",0.659
"MGP",0,0.981905178213647,0.761,0.209,0,"0","MGP",0.552
"SPON2",0,0.981769902592849,0.679,0.099,0,"0","SPON2",0.58
"ISLR",0,0.967909233369142,0.732,0.102,0,"0","ISLR",0.63
"LMNA",0,0.963142098538516,0.949,0.43,0,"0","LMNA",0.519
"CFH",0,0.961880553645879,0.859,0.163,0,"0","CFH",0.696
"FBLN5",0,0.957550639719639,0.629,0.074,0,"0","FBLN5",0.555
"MARCKSL1",0,0.955641452712645,0.933,0.365,0,"0","MARCKSL1",0.568
"RHOBTB3",0,0.946568892269788,0.925,0.223,0,"0","RHOBTB3",0.702
"MORF4L2",0,0.940635033573374,0.932,0.434,0,"0","MORF4L2",0.498
"CTSK",0,0.940110648218775,0.685,0.094,0,"0","CTSK",0.591
"PPIC",0,0.940022019334059,0.789,0.179,0,"0","PPIC",0.61
"PDGFRA",0,0.937882573978382,0.856,0.117,0,"0","PDGFRA",0.739
"CYR61",0,0.937419305574206,0.709,0.196,0,"0","CYR61",0.513
"PALLD",0,0.935162513669619,0.822,0.17,0,"0","PALLD",0.652
"SERPINH1",0,0.934033601292269,0.898,0.283,0,"0","SERPINH1",0.615
"SERPING1",0,0.923888510372657,0.823,0.284,0,"0","SERPING1",0.539
"PLAT",0,0.917942864649422,0.625,0.085,0,"0","PLAT",0.54
"CD63",0,0.915719646424816,0.993,0.787,0,"0","CD63",0.206
"SULF2",0,0.909220205471377,0.805,0.165,0,"0","SULF2",0.64
