"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CLDN4",7.31856120244058e-128,0.949553203811581,0.947,0.52,1.63452745895308e-123,"Epithelial_C1","CLDN4",0.427
"SLPI",2.0152025846949e-125,1.16037527972186,0.961,0.581,4.50075345265759e-121,"Epithelial_C1","SLPI",0.38
"WFDC2",5.00511279729798e-124,0.947518943107515,0.999,0.814,1.11784189214853e-119,"Epithelial_C1","WFDC2",0.185
"ELF3",4.3356875265805e-121,0.807160903465954,0.948,0.485,9.68332452186489e-117,"Epithelial_C1","ELF3",0.463
"MUC1",3.87264524406591e-120,0.755202565638716,0.936,0.468,8.6491658880968e-116,"Epithelial_C1","MUC1",0.468
"FXYD3",1.37068128504648e-115,0.617254681505482,0.777,0.263,3.06127958202281e-111,"Epithelial_C1","FXYD3",0.514
"C19orf33",4.36030051177231e-102,0.579518659592634,0.839,0.339,9.73829516299227e-98,"Epithelial_C1","C19orf33",0.5
"KRT7",1.06075444002846e-100,0.708258229623438,0.944,0.476,2.36908896635956e-96,"Epithelial_C1","KRT7",0.468
"TACSTD2",2.16292730571999e-100,0.916302294719552,0.842,0.366,4.83068184459503e-96,"Epithelial_C1","TACSTD2",0.476
"CP",2.77763907335853e-97,0.741530790448963,0.786,0.33,6.20357910643893e-93,"Epithelial_C1","CP",0.456
"MT-ND2",7.86270910532992e-97,0.832236287589083,0.962,0.741,1.75605745158439e-92,"Epithelial_C1","MT-ND2",0.221
"KCNK15",9.37338907366421e-97,0.566171143436086,0.739,0.278,2.09345271571216e-92,"Epithelial_C1","KCNK15",0.461
"VTCN1",4.10222822598515e-96,0.572658439198376,0.707,0.23,9.16191651991523e-92,"Epithelial_C1","VTCN1",0.477
"MT-CO1",1.67702914102832e-93,0.822811509564304,0.974,0.829,3.74547688357264e-89,"Epithelial_C1","MT-CO1",0.145
"CLU",3.26043856792707e-93,0.890882139311896,0.9,0.507,7.28186349760832e-89,"Epithelial_C1","CLU",0.393
"CD9",4.05372544308426e-93,0.708391456428851,0.963,0.676,9.05359040458438e-89,"Epithelial_C1","CD9",0.287
"MT-ND5",7.91883256683561e-93,0.748267111254771,0.932,0.592,1.76859206547706e-88,"Epithelial_C1","MT-ND5",0.34
"MSLN",1.64274497985887e-92,0.72011033346952,0.718,0.263,3.6689066380168e-88,"Epithelial_C1","MSLN",0.455
"SPINT2",8.74590067860801e-92,0.632699169396027,0.982,0.573,1.95330945756031e-87,"Epithelial_C1","SPINT2",0.409
"CLDN3",1.13496154150196e-90,0.740658189968923,0.969,0.586,2.53482310679049e-86,"Epithelial_C1","CLDN3",0.383
"EPCAM",3.52169891730179e-90,0.666498583917336,0.967,0.541,7.86536236190182e-86,"Epithelial_C1","EPCAM",0.426
"MT-ND1",1.6063579766165e-89,0.793505096282005,0.968,0.814,3.58763990497529e-85,"Epithelial_C1","MT-ND1",0.154
"MUC16",2.9515565765135e-89,0.627606591923937,0.662,0.196,6.59200645798524e-85,"Epithelial_C1","MUC16",0.466
"CLDN7",4.65645923330249e-89,0.612224361788437,0.938,0.46,1.03997360516578e-84,"Epithelial_C1","CLDN7",0.478
"BCAM",4.72349051461811e-87,0.645837191079186,0.887,0.421,1.05494437153481e-82,"Epithelial_C1","BCAM",0.466
"MT-CO2",6.07776985331679e-86,0.761503352540719,0.971,0.806,1.35740911903977e-81,"Epithelial_C1","MT-CO2",0.165
"KRT19",1.47176008925711e-85,0.679793925796738,0.962,0.593,3.28702898334683e-81,"Epithelial_C1","KRT19",0.369
"MT-ND3",1.57127591043924e-85,0.772259079372689,0.959,0.736,3.509287618375e-81,"Epithelial_C1","MT-ND3",0.223
"NEAT1",3.11637673662725e-84,0.909862867440852,0.931,0.815,6.9601158035833e-80,"Epithelial_C1","NEAT1",0.116
"MT-ND4",2.50914277196801e-81,0.723318991696647,0.975,0.798,5.60391946691335e-77,"Epithelial_C1","MT-ND4",0.177
"LCN2",2.83760736354694e-79,1.01752254496055,0.707,0.289,6.33751228574574e-75,"Epithelial_C1","LCN2",0.418
"MT-ND4L",6.51622750387605e-79,0.545400720962045,0.876,0.443,1.45533425071568e-74,"Epithelial_C1","MT-ND4L",0.433
"SLC34A2",1.92476806033953e-77,0.738576070666214,0.657,0.232,4.29877698596231e-73,"Epithelial_C1","SLC34A2",0.425
"MT-CYB",2.79755678945713e-77,0.716710491735105,0.967,0.769,6.24806333357354e-73,"Epithelial_C1","MT-CYB",0.198
"MT-CO3",1.94361230643006e-75,0.701471376504618,0.972,0.855,4.3408637251809e-71,"Epithelial_C1","MT-CO3",0.117
"SLC40A1",5.20545056023572e-75,0.803427800927861,0.702,0.3,1.16258532812305e-70,"Epithelial_C1","SLC40A1",0.402
"KLK7",1.71085160176819e-74,0.64771432143377,0.647,0.225,3.82101596738908e-70,"Epithelial_C1","KLK7",0.422
"MT-ATP6",1.62943663433525e-73,0.688743436786465,0.976,0.864,3.63918377912434e-69,"Epithelial_C1","MT-ATP6",0.112
"ZFP36L2",8.17462188286917e-72,0.61892371317003,0.877,0.52,1.82572005132e-67,"Epithelial_C1","ZFP36L2",0.357
"LAPTM4B",5.26083941313447e-71,0.542373396718204,0.94,0.527,1.17495587452945e-66,"Epithelial_C1","LAPTM4B",0.413
"S100A1",1.09925407972579e-67,0.562208790771633,0.8,0.377,2.45507406165959e-63,"Epithelial_C1","S100A1",0.423
"RARRES3",4.1286180885511e-67,0.571532001524326,0.73,0.333,9.22085563897003e-63,"Epithelial_C1","RARRES3",0.397
