"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"TNFRSF4",0,1.72029931847247,0.739,0.168,0,"Tregs","TNFRSF4",0.571
"FOXP3",0,1.3367124285258,0.598,0.029,0,"Tregs","FOXP3",0.569
"CTLA4",0,1.31431106994696,0.784,0.213,0,"Tregs","CTLA4",0.571
"IL2RA",0,1.18202650000657,0.442,0.042,0,"Tregs","IL2RA",0.4
"ICOS",0,0.984584775955272,0.652,0.196,0,"Tregs","ICOS",0.456
"LAIR2",0,0.970125480659554,0.519,0.11,0,"Tregs","LAIR2",0.409
"RTKN2",0,0.871844615187976,0.38,0.043,0,"Tregs","RTKN2",0.337
"TBC1D4",0,0.864160504268498,0.582,0.137,0,"Tregs","TBC1D4",0.445
"CD4",0,0.838884861039146,0.631,0.132,0,"Tregs","CD4",0.499
"GADD45A",1.62660277855701e-294,1.15088738423999,0.527,0.143,3.63285464562923e-290,"Tregs","GADD45A",0.384
"MAF",3.21460018392496e-289,0.784595567208126,0.745,0.276,7.179488050778e-285,"Tregs","MAF",0.469
"SPOCK2",1.11005415506021e-287,0.839351298606326,0.823,0.385,2.47919494991148e-283,"Tregs","SPOCK2",0.438
"BATF",5.65409181109991e-285,1.01054708296235,0.713,0.293,1.26278486509105e-280,"Tregs","BATF",0.42
"LINC01943",3.16002394750035e-263,0.783428275581813,0.519,0.139,7.05759748434729e-259,"Tregs","LINC01943",0.38
"LTB",1.59044105112023e-254,1.03163111304458,0.934,0.629,3.55209104357192e-250,"Tregs","LTB",0.305
"ARID5B",6.16211456326056e-250,0.804466855089447,0.691,0.275,1.37624666655861e-245,"Tregs","ARID5B",0.416
"CD28",2.54879474752444e-249,0.553127433523885,0.417,0.088,5.69247818912109e-245,"Tregs","CD28",0.329
"DNPH1",1.12576110264138e-242,0.756312237100054,0.627,0.24,2.51427484663926e-238,"Tregs","DNPH1",0.387
"IL32",5.3599904536017e-242,0.715618576161502,0.985,0.848,1.1971002679074e-237,"Tregs","IL32",0.137
"S100A4",2.44646307010244e-234,0.750446090351373,0.976,0.87,5.4639306207668e-230,"Tregs","S100A4",0.106
"CORO1B",6.44287149569358e-218,0.833056805325436,0.679,0.306,1.4389509198482e-213,"Tregs","CORO1B",0.373
"IKZF4",5.76725624718822e-217,0.535144394036648,0.312,0.056,1.28805901024702e-212,"Tregs","IKZF4",0.256
"CD27",3.65366590185937e-210,0.706599771643647,0.742,0.344,8.16009742521272e-206,"Tregs","CD27",0.398
"IKZF2",2.57442651801542e-208,0.600744086227507,0.466,0.132,5.74972418533565e-204,"Tregs","IKZF2",0.334
"TNFRSF18",3.67379380280173e-207,0.836531403776816,0.745,0.34,8.20505107917739e-203,"Tregs","TNFRSF18",0.405
"SAT1",3.22379255219839e-206,0.949449884526128,0.923,0.712,7.20001828607989e-202,"Tregs","SAT1",0.211
"TNFRSF1B",9.55515810613506e-202,0.834222018212008,0.758,0.427,2.1340490114242e-197,"Tregs","TNFRSF1B",0.331
"DUSP4",2.61497722090544e-199,0.761629478639726,0.685,0.312,5.84029012517022e-195,"Tregs","DUSP4",0.373
"SOX4",3.83272867686332e-198,1.03456430284006,0.281,0.051,8.56001622690654e-194,"Tregs","SOX4",0.23
"TIGIT",5.14226351495802e-195,0.702499754675115,0.853,0.506,1.14847313343072e-190,"Tregs","TIGIT",0.347
"GLRX",2.9811605202839e-183,0.76740455149672,0.614,0.283,6.65812390600206e-179,"Tregs","GLRX",0.331
"TNFRSF9",4.40085889466113e-173,0.682129435412848,0.372,0.1,9.82887825533616e-169,"Tregs","TNFRSF9",0.272
"SLAMF1",6.88385763008083e-173,0.547109152564359,0.514,0.182,1.53744076310225e-168,"Tregs","SLAMF1",0.332
"PHTF2",1.69119932833968e-171,0.530884624002691,0.468,0.156,3.77712457991385e-167,"Tregs","PHTF2",0.312
"PIM2",2.12909332509742e-169,0.581415554680413,0.446,0.146,4.75511703227257e-165,"Tregs","PIM2",0.3
"SELL",3.9903487145711e-166,0.500078558901084,0.394,0.111,8.9120448191231e-162,"Tregs","SELL",0.283
"PMAIP1",1.31764072269928e-158,0.697975468935099,0.488,0.185,2.94281879007658e-154,"Tregs","PMAIP1",0.303
"CARD16",7.63580673386913e-158,0.660917854532795,0.821,0.551,1.70538107594233e-153,"Tregs","CARD16",0.27
"MIR4435-2HG",1.64035196665949e-155,0.556288685463208,0.481,0.179,3.6635620823373e-151,"Tregs","MIR4435-2HG",0.302
"TRAC",6.21971482271731e-155,0.511134217969595,0.967,0.761,1.38911110850568e-150,"Tregs","TRAC",0.206
"LTA",5.15087781452974e-151,0.589668099085095,0.319,0.084,1.15039705109707e-146,"Tregs","LTA",0.235
"GPX1",1.62553994763698e-150,0.55626720273512,0.597,0.272,3.63048091905244e-146,"Tregs","GPX1",0.325
"TMEM173",2.14329769287125e-148,0.589996233351672,0.553,0.238,4.78684106725866e-144,"Tregs","TMEM173",0.315
"BIRC3",6.59840527937198e-148,0.721029637345169,0.648,0.323,1.47368783509494e-143,"Tregs","BIRC3",0.325
"MAGEH1",1.33319341216638e-146,0.687287793879327,0.334,0.097,2.9775541667324e-142,"Tregs","MAGEH1",0.237
"TYMP",9.91397357543805e-137,0.718578330393939,0.832,0.568,2.21418685833833e-132,"Tregs","TYMP",0.264
"CREM",2.03681783623234e-136,0.636585581436519,0.563,0.262,4.5490289554413e-132,"Tregs","CREM",0.301
"PBXIP1",1.20267573954342e-135,0.506406151427342,0.57,0.252,2.68605599669628e-131,"Tregs","PBXIP1",0.318
"CTSC",3.31737200525072e-126,0.696016447108508,0.837,0.658,7.40901863652697e-122,"Tregs","CTSC",0.179
"SPATS2L",1.03670657835921e-120,0.563419856749262,0.593,0.297,2.31538047210746e-116,"Tregs","SPATS2L",0.296
