"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"FCN1",3.23833091724055e-167,1.52706680601918,0.657,0.092,7.23248827056504e-163,"Monocyte","FCN1",0.565
"S100A8",4.23946271394478e-108,2.25488344880889,0.704,0.279,9.46841602532427e-104,"Monocyte","S100A8",0.425
"EREG",3.39613620045768e-102,1.86322417214537,0.526,0.102,7.58493059010219e-98,"Monocyte","EREG",0.424
"LYZ",2.29390125338576e-99,1.14043036621044,0.971,0.889,5.12319905931175e-95,"Monocyte","LYZ",0.082
"CD300E",1.94925653423994e-93,0.867026661609248,0.518,0.117,4.35346954357147e-89,"Monocyte","CD300E",0.401
"S100A6",2.32797188542505e-92,0.731282347105403,0.984,0.94,5.19929240890831e-88,"Monocyte","S100A6",0.044
"S100A9",6.23835439341346e-92,2.03466347234379,0.831,0.559,1.39327407022496e-87,"Monocyte","S100A9",0.272
"VCAN",6.11962177117518e-90,1.22334123975408,0.554,0.142,1.36675632637426e-85,"Monocyte","VCAN",0.412
"BCL2A1",8.29909327513221e-88,0.815260629125567,0.913,0.654,1.85351949206803e-83,"Monocyte","BCL2A1",0.259
"SH3BGRL3",3.92385292235352e-87,0.600543031406496,0.979,0.969,8.76353311678435e-83,"Monocyte","SH3BGRL3",0.01
"NFKBIA",5.96297919599019e-80,0.706301468339344,0.991,0.964,1.33177177363245e-75,"Monocyte","NFKBIA",0.027
"TIMP1",1.64627476100289e-79,1.33706146731841,0.918,0.756,3.67679005122386e-75,"Monocyte","TIMP1",0.162
"CD52",2.05731152244206e-75,0.836983813285078,0.685,0.321,4.59479955422209e-71,"Monocyte","CD52",0.364
"RPL8",5.63590333770523e-75,0.456175170370899,0.989,0.992,1.25872265144309e-70,"Monocyte","RPL8",-0.003
"SOCS3",6.42315657459358e-74,0.686642258146381,0.838,0.546,1.43454778936973e-69,"Monocyte","SOCS3",0.292
"RPL41",8.40633445611668e-73,0.410101743310843,1,0.996,1.8774707374291e-68,"Monocyte","RPL41",0.004
"S100A12",2.86440691789559e-72,0.680993948333733,0.273,0.012,6.39736641042801e-68,"Monocyte","S100A12",0.261
"TNFAIP3",9.62141571265282e-72,0.739222824217517,0.914,0.725,2.14884698526388e-67,"Monocyte","TNFAIP3",0.189
"RPS12",2.88984576561879e-71,0.475492113728231,0.992,0.987,6.45418153293302e-67,"Monocyte","RPS12",0.005
"RPS9",1.07092433018071e-69,0.410933403317981,0.991,0.985,2.3918023990256e-65,"Monocyte","RPS9",0.00600000000000001
"LGALS2",1.48014421016051e-69,0.707954373262623,0.456,0.116,3.30575407897249e-65,"Monocyte","LGALS2",0.34
"RPL18A",4.0659835851694e-69,0.457925200977127,0.992,0.989,9.08096773911733e-65,"Monocyte","RPL18A",0.003
"S100A10",5.83453379396499e-66,0.588425375305251,0.968,0.903,1.30308477754414e-61,"Monocyte","S100A10",0.0649999999999999
"S100A4",1.39715731725563e-64,0.729988133949021,0.948,0.931,3.12041115235873e-60,"Monocyte","S100A4",0.0169999999999999
"FLNA",1.58980301081448e-63,0.52353659381556,0.826,0.51,3.55066604435306e-59,"Monocyte","FLNA",0.316
"MARCO",4.82934558621522e-62,0.67945235547862,0.406,0.092,1.07858604322531e-57,"Monocyte","MARCO",0.314
"NAMPT",1.2110727590727e-61,0.666034867234915,0.984,0.94,2.70480990011296e-57,"Monocyte","NAMPT",0.044
"RPL39",1.32121459719254e-61,0.351323287707352,0.993,0.997,2.95080068136982e-57,"Monocyte","RPL39",-0.004
"CD36",2.04314496233384e-60,0.391621763441909,0.375,0.077,4.56315995887641e-56,"Monocyte","CD36",0.298
"RPS28",2.59363226140074e-60,0.338142034032904,0.991,0.993,5.79261829261242e-56,"Monocyte","RPS28",-0.002
"RPL21",4.1809508880271e-59,0.538401131329647,0.971,0.943,9.33773571331973e-55,"Monocyte","RPL21",0.028
"IL1B",4.56554580426095e-58,1.03196616638976,0.862,0.656,1.01966899992364e-53,"Monocyte","IL1B",0.206
"RPL13",5.95451857096019e-58,0.352788326654317,0.999,0.998,1.32988217763825e-53,"Monocyte","RPL13",0.001
"RPL35A",6.79564271095138e-57,0.39917240423418,0.983,0.977,1.51773884306388e-52,"Monocyte","RPL35A",0.00600000000000001
"RPS24",1.79815547650054e-56,0.348036416603841,0.997,0.995,4.01600044121631e-52,"Monocyte","RPS24",0.002
"RPL32",2.05295612712037e-55,0.333217160716426,0.997,0.992,4.58507221431063e-51,"Monocyte","RPL32",0.005
"NCF2",4.06887661653347e-55,0.495743855293449,0.829,0.611,9.08742903536584e-51,"Monocyte","NCF2",0.218
"RPS16",5.59340777503464e-55,0.338571692325782,0.995,0.988,1.24923169247624e-50,"Monocyte","RPS16",0.00700000000000001
"EMP3",6.19472515032729e-54,0.524954996519155,0.93,0.791,1.3835299150741e-49,"Monocyte","EMP3",0.139
"NFKBIZ",6.95153284571927e-54,0.527695835455436,0.929,0.789,1.55255534576294e-49,"Monocyte","NFKBIZ",0.14
"PTMA",1.32245307331962e-53,0.314208843442366,0.995,0.996,2.95356669395204e-49,"Monocyte","PTMA",-0.001
"CLEC10A",6.63084407285251e-53,0.530912390829911,0.367,0.093,1.48093271523088e-48,"Monocyte","CLEC10A",0.274
"RPS2",8.18367840119627e-53,0.401707319753839,0.996,0.993,1.82774273412318e-48,"Monocyte","RPS2",0.003
"RETN",9.61280301606203e-53,1.01681379018501,0.497,0.212,2.14692342560729e-48,"Monocyte","RETN",0.285
"RPL11",1.37878722625268e-52,0.330772235065166,0.993,0.991,3.07938339111275e-48,"Monocyte","RPL11",0.002
"RPL28",5.68069831758673e-52,0.259774128361403,0.999,0.997,1.26872716224982e-47,"Monocyte","RPL28",0.002
"DUSP2",8.1195192319453e-51,0.730695661215244,0.754,0.482,1.81341342526266e-46,"Monocyte","DUSP2",0.272
"RPS7",2.9907712886565e-50,0.372447961816037,0.977,0.975,6.67958859608543e-46,"Monocyte","RPS7",0.002
"UBA52",2.02392339190605e-48,0.303306762680669,0.984,0.985,4.52023050348297e-44,"Monocyte","UBA52",-0.001
"RPL9",2.08474507330374e-48,0.331372057713105,0.992,0.987,4.65606964671658e-44,"Monocyte","RPL9",0.005
"FBP1",6.08942123394139e-48,0.71629075670375,0.639,0.395,1.36001133838847e-43,"Monocyte","FBP1",0.244
"RPL34",1.22656851553796e-47,0.337018072656505,0.993,0.989,2.73941812260248e-43,"Monocyte","RPL34",0.004
"CCR2",3.66482843612859e-47,0.27848477049815,0.274,0.047,8.18502782924959e-43,"Monocyte","CCR2",0.227
"MXD1",7.23870507478598e-47,0.549146693237903,0.742,0.479,1.6166923914027e-42,"Monocyte","MXD1",0.263
"PTGS2",1.97203170640569e-46,0.863031594883908,0.624,0.343,4.40433561308646e-42,"Monocyte","PTGS2",0.281
"FAU",2.15745695791982e-46,0.265477146442835,0.995,0.991,4.81846436981812e-42,"Monocyte","FAU",0.004
"VIM",3.72469269779282e-46,0.423424128320927,0.995,0.975,8.31872867125049e-42,"Monocyte","VIM",0.02
"RPL24",3.72676113371004e-46,0.298851381319034,0.985,0.973,8.32334831602799e-42,"Monocyte","RPL24",0.012
"RPLP1",3.9006107135502e-46,0.291150131050733,0.999,0.997,8.71162396764301e-42,"Monocyte","RPLP1",0.002
"APOBEC3A",6.78557447780263e-46,1.36871160707838,0.333,0.091,1.51549020387244e-41,"Monocyte","APOBEC3A",0.242
"CD44",8.11266707935524e-46,0.475959840631446,0.938,0.883,1.8118830655032e-41,"Monocyte","CD44",0.0549999999999999
"RPS3",1.0653078972211e-45,0.38018089903772,0.989,0.978,2.37925865765361e-41,"Monocyte","RPS3",0.011
"RPS27A",7.08844180376669e-45,0.35559735802815,0.989,0.984,1.58313259245325e-40,"Monocyte","RPS27A",0.005
"PRELID1",2.77366270489186e-44,0.469940962230168,0.85,0.719,6.19469828510549e-40,"Monocyte","PRELID1",0.131
"ZFP36",4.65003805764759e-44,0.479268526468596,0.968,0.934,1.03853949979501e-39,"Monocyte","ZFP36",0.0339999999999999
"LCP1",5.31631124764707e-44,0.432879506916473,0.912,0.801,1.1873449540495e-39,"Monocyte","LCP1",0.111
"RPL22",5.56231374734504e-44,0.321600721775015,0.985,0.98,1.24228715233204e-39,"Monocyte","RPL22",0.005
"ATP2B1-AS1",1.33024256516097e-43,0.533273879950594,0.827,0.609,2.97096374503051e-39,"Monocyte","ATP2B1-AS1",0.218
"RPS10",1.53114819959327e-43,0.38566956608266,0.942,0.909,3.4196663889716e-39,"Monocyte","RPS10",0.0329999999999999
"RPS14",2.42498866220801e-43,0.32216916439179,0.999,0.989,5.41596967817537e-39,"Monocyte","RPS14",0.01
"RPL27",2.56626513513761e-43,0.355642588625565,0.963,0.953,5.73149655281633e-39,"Monocyte","RPL27",0.01
"CSTA",3.44211515889787e-43,0.458661510679998,0.714,0.502,7.68761999588249e-39,"Monocyte","CSTA",0.212
"ATF3",3.92393322969134e-43,0.554635428298412,0.916,0.787,8.76371247519264e-39,"Monocyte","ATF3",0.129
"SLC25A37",4.90602309472613e-43,0.791441913064181,0.691,0.455,1.09571119797613e-38,"Monocyte","SLC25A37",0.236
"RPL6",8.18850673962096e-43,0.361542584762668,0.977,0.974,1.82882109522695e-38,"Monocyte","RPL6",0.003
"ANPEP",3.45651711909545e-42,0.380696595383146,0.609,0.313,7.71978533378777e-38,"Monocyte","ANPEP",0.296
"SERPINA1",9.07247223704383e-42,0.496385625726055,0.884,0.775,2.02624594942137e-37,"Monocyte","SERPINA1",0.109
"FTH1",9.77760334853876e-42,0.410382504231185,0.999,0.999,2.18372993186265e-37,"Monocyte","FTH1",0
"RPS8",1.39115260342306e-41,0.358691540355546,0.991,0.982,3.10700022448506e-37,"Monocyte","RPS8",0.00900000000000001
"SRGN",6.74350095542527e-41,0.424865132190286,0.999,0.99,1.50609350338468e-36,"Monocyte","SRGN",0.00900000000000001
"RPS18",8.23180536207472e-41,0.325600743577434,0.996,0.995,1.83849140956577e-36,"Monocyte","RPS18",0.001
"H3F3A",1.06237808310159e-40,0.314026381459422,0.995,0.991,2.3727152107991e-36,"Monocyte","H3F3A",0.004
"RPL30",1.65955468387915e-40,0.323814485084819,0.987,0.984,3.7064494309757e-36,"Monocyte","RPL30",0.003
"RPS3A",1.96032970776237e-40,0.400304935157348,0.983,0.969,4.37820036931647e-36,"Monocyte","RPS3A",0.014
"RPL26",2.80690653776588e-40,0.365119818364702,0.981,0.973,6.26894506144632e-36,"Monocyte","RPL26",0.00800000000000001
"RPLP2",2.96126015761392e-40,0.268448962267796,0.996,0.993,6.61367843601494e-36,"Monocyte","RPLP2",0.003
"RPS27",5.68836550164509e-40,0.35281453827484,0.985,0.988,1.27043955113741e-35,"Monocyte","RPS27",-0.003
"COTL1",7.91552057376759e-40,0.442544868365692,0.941,0.917,1.76785236494525e-35,"Monocyte","COTL1",0.0239999999999999
"RPS17",1.03535416505875e-39,0.378697064186192,0.952,0.939,2.31235999224221e-35,"Monocyte","RPS17",0.013
"VASP",3.11852820853213e-39,0.401714190881702,0.833,0.695,6.96492090093566e-35,"Monocyte","VASP",0.138
"RPL7",3.16870397584136e-39,0.401606398993426,0.964,0.935,7.0769834596441e-35,"Monocyte","RPL7",0.0289999999999999
"RPL35",4.52836477619463e-39,0.288271982138919,0.979,0.989,1.01136498911531e-34,"Monocyte","RPL35",-0.01
"CST6",8.17633359878594e-39,0.45285299533812,0.376,0.141,1.82610234595285e-34,"Monocyte","CST6",0.235
"NLRP3",8.23468962782145e-39,0.59579760298214,0.613,0.356,1.83913558147764e-34,"Monocyte","NLRP3",0.257
"RPL10A",9.75515597215812e-39,0.395425486741792,0.948,0.942,2.17871653482179e-34,"Monocyte","RPL10A",0.00600000000000001
"RPS13",1.0275899096824e-38,0.361034812743193,0.984,0.976,2.29501930428468e-34,"Monocyte","RPS13",0.00800000000000001
"IER3",1.37677402995753e-38,0.516132519761536,0.968,0.937,3.07488711850715e-34,"Monocyte","IER3",0.0309999999999999
"RPL18",2.19191840887191e-38,0.274158929862271,0.993,0.983,4.89543057437452e-34,"Monocyte","RPL18",0.01
"EIF1",4.07358824180891e-38,0.29250929399462,0.996,0.988,9.09795197925603e-34,"Monocyte","EIF1",0.00800000000000001
"SMIM25",1.77160335020982e-37,0.451817002665175,0.538,0.28,3.95669892235862e-33,"Monocyte","SMIM25",0.258
"C15orf48",2.56680960852163e-37,0.842374672694661,0.798,0.623,5.73271257967221e-33,"Monocyte","C15orf48",0.175
"VEGFA",4.20570055981818e-37,0.603281507964554,0.76,0.523,9.39301163029793e-33,"Monocyte","VEGFA",0.237
"AQP9",4.50923798355384e-37,0.420146613810934,0.312,0.096,1.00709321124691e-32,"Monocyte","AQP9",0.216
"GLIPR2",8.30686968200903e-37,0.365342420247819,0.628,0.403,1.8552562747799e-32,"Monocyte","GLIPR2",0.225
"OAZ1",2.9426953935318e-36,0.255796445849244,0.979,0.984,6.57221589191393e-32,"Monocyte","OAZ1",-0.005
"PFDN5",8.90851509503218e-36,0.282857571156626,0.975,0.959,1.98962776132449e-31,"Monocyte","PFDN5",0.016
"RPLP0",1.48152465105429e-35,0.385764800971166,0.959,0.96,3.30883715566466e-31,"Monocyte","RPLP0",-0.001
"RPS23",5.39389171610272e-35,0.298286392115212,0.997,0.986,1.20467177587438e-30,"Monocyte","RPS23",0.011
"RPSA",5.8304357414665e-35,0.395724334040705,0.95,0.928,1.30216951849913e-30,"Monocyte","RPSA",0.0219999999999999
"RPS6",5.8787793922467e-35,0.320588690687594,0.988,0.987,1.31296658946438e-30,"Monocyte","RPS6",0.001
